filename,label,set
37dca74f_nohash_2.wav,one,testing
d6b155a5_nohash_1.wav,four,training
529eda42_nohash_3.wav,marvin,training
24a3e589_nohash_4.wav,six,training
e5afa9b0_nohash_1.wav,marvin,training
4634529e_nohash_0.wav,yes,training
28e47b1a_nohash_2.wav,right,training
19b05529_nohash_0.wav,sheila,validation
ce0cb033_nohash_1.wav,on,validation
5170b77f_nohash_2.wav,follow,testing
fbe51750_nohash_1.wav,down,training
325a0c39_nohash_0.wav,go,training
8a0457c9_nohash_0.wav,dog,training
c33682f0_nohash_1.wav,seven,training
a0f93943_nohash_0.wav,one,training
c948d727_nohash_4.wav,seven,training
2927c601_nohash_1.wav,four,training
aa48c94a_nohash_0.wav,zero,testing
0d90d8e1_nohash_3.wav,learn,training
61ab8fbc_nohash_4.wav,seven,training
3a182c98_nohash_0.wav,happy,training
f8f60f59_nohash_3.wav,right,training
66aa0f29_nohash_0.wav,eight,training
2f666bb2_nohash_1.wav,three,training
0d90d8e1_nohash_4.wav,no,training
61482e52_nohash_0.wav,yes,training
211b928a_nohash_0.wav,one,training
aa233654_nohash_0.wav,eight,testing
674ca5ea_nohash_0.wav,yes,training
af790082_nohash_2.wav,zero,training
340c8b10_nohash_1.wav,off,training
3d86b69a_nohash_3.wav,visual,testing
de89e2ca_nohash_0.wav,wow,training
0ea9c8ce_nohash_3.wav,go,validation
476e02f8_nohash_0.wav,four,training
3ee0fc39_nohash_0.wav,no,training
3b3d2f59_nohash_1.wav,forward,training
64df20d8_nohash_0.wav,right,training
8f447c3e_nohash_0.wav,bird,training
8910e5ef_nohash_1.wav,three,validation
ca58a8c6_nohash_1.wav,four,training
cb72dfb6_nohash_1.wav,off,training
adec6a94_nohash_0.wav,go,training
4c3cddb8_nohash_4.wav,visual,training
b665723d_nohash_0.wav,three,training
8536c82d_nohash_0.wav,stop,training
2f0ce4d9_nohash_2.wav,down,training
540d8427_nohash_0.wav,bird,training
4c6944d6_nohash_6.wav,yes,training
a929f9b9_nohash_1.wav,learn,training
3ae5c04f_nohash_0.wav,cat,training
e6327279_nohash_0.wav,eight,training
d9aa8c90_nohash_0.wav,five,training
8ca3b1db_nohash_1.wav,three,training
48463cbc_nohash_1.wav,stop,training
12529547_nohash_0.wav,sheila,training
fbe51750_nohash_2.wav,sheila,training
00b01445_nohash_0.wav,on,training
a331d9cb_nohash_2.wav,bed,training
d0fb9ff4_nohash_1.wav,up,training
18f8afd5_nohash_1.wav,follow,testing
a04817c2_nohash_0.wav,marvin,training
dd086776_nohash_1.wav,happy,validation
cd85758f_nohash_2.wav,right,testing
4c77947d_nohash_0.wav,one,training
a50a98d2_nohash_0.wav,up,training
c22d3f18_nohash_2.wav,seven,testing
5c39594f_nohash_0.wav,wow,training
da27460c_nohash_0.wav,left,training
61d3e51e_nohash_1.wav,go,training
3c257192_nohash_0.wav,cat,training
b5cf6ea8_nohash_0.wav,off,training
d1bf406b_nohash_0.wav,six,testing
a2b16113_nohash_1.wav,off,training
1a6eca98_nohash_0.wav,marvin,training
fd5ccd39_nohash_3.wav,right,training
2aca1e72_nohash_0.wav,three,training
31267b59_nohash_0.wav,bird,training
b8897f1c_nohash_0.wav,bird,training
a8f45bdc_nohash_1.wav,down,training
d394ef8e_nohash_2.wav,yes,training
1eddce1d_nohash_0.wav,off,training
b59fe16d_nohash_1.wav,up,training
96d8bb6f_nohash_2.wav,follow,training
64df20d8_nohash_2.wav,stop,training
fffcabd1_nohash_1.wav,sheila,training
ee23b031_nohash_0.wav,off,training
9f92fb7c_nohash_0.wav,go,training
578d3efb_nohash_1.wav,right,training
1df99a8a_nohash_1.wav,one,training
cb62dbf1_nohash_2.wav,follow,training
ae71797c_nohash_0.wav,dog,training
6f9088d7_nohash_0.wav,happy,training
ad1429cf_nohash_0.wav,sheila,training
da040491_nohash_2.wav,down,training
ccca5655_nohash_2.wav,follow,validation
c1d39ce8_nohash_3.wav,four,training
31f01a8d_nohash_4.wav,off,validation
7f74626f_nohash_2.wav,down,training
de89e2ca_nohash_3.wav,visual,training
645ed69d_nohash_1.wav,two,training
89d6d11e_nohash_2.wav,three,training
9db2bfe9_nohash_0.wav,sheila,validation
c1d39ce8_nohash_1.wav,one,training
3bc21161_nohash_2.wav,down,training
299c14b1_nohash_1.wav,five,training
735845ab_nohash_1.wav,six,training
c2dccf38_nohash_0.wav,two,training
0b7ee1a0_nohash_1.wav,follow,training
da584bc0_nohash_4.wav,on,training
a05a90c1_nohash_0.wav,five,training
b06c19b0_nohash_0.wav,tree,training
ffea4a57_nohash_1.wav,house,training
bbc30633_nohash_0.wav,nine,training
fda46b78_nohash_0.wav,dog,training
87728a88_nohash_0.wav,go,training
5c237956_nohash_1.wav,wow,training
2fcb6397_nohash_0.wav,six,training
ab5ae445_nohash_1.wav,down,training
fb2f3242_nohash_0.wav,eight,training
31f01a8d_nohash_4.wav,go,validation
ae71797c_nohash_0.wav,left,training
679463fc_nohash_3.wav,zero,training
2748cce7_nohash_0.wav,dog,training
1c84a139_nohash_1.wav,four,training
3b195250_nohash_2.wav,up,training
f68160c0_nohash_0.wav,zero,training
3cc595de_nohash_2.wav,down,validation
db24628d_nohash_0.wav,nine,testing
b80d6c5e_nohash_0.wav,six,training
f9643d42_nohash_3.wav,go,testing
adc216c5_nohash_0.wav,five,training
e1aa22e4_nohash_0.wav,zero,training
eaa83485_nohash_2.wav,four,training
6940f7f3_nohash_0.wav,house,validation
b665723d_nohash_0.wav,marvin,training
68dd409e_nohash_0.wav,bed,testing
c885a039_nohash_0.wav,up,training
a928cc5b_nohash_1.wav,three,training
837a0f64_nohash_0.wav,marvin,testing
4249c833_nohash_0.wav,stop,training
8eb4a1bf_nohash_2.wav,seven,training
6f5b4d3d_nohash_0.wav,six,validation
be91a00a_nohash_0.wav,four,training
ddedba85_nohash_7.wav,one,training
d21fd169_nohash_0.wav,marvin,training
64e48f55_nohash_2.wav,off,validation
8a90cf67_nohash_1.wav,two,validation
e54a0f16_nohash_2.wav,eight,validation
f2b8fc18_nohash_2.wav,left,training
5c39594f_nohash_3.wav,seven,training
84bf12ff_nohash_1.wav,tree,training
b308773d_nohash_2.wav,six,training
1acc97de_nohash_2.wav,stop,testing
8dc18a75_nohash_2.wav,up,validation
d0426d63_nohash_0.wav,right,training
f2e59fea_nohash_0.wav,wow,testing
31583d30_nohash_1.wav,cat,training
caa7feaf_nohash_1.wav,cat,training
1474273a_nohash_0.wav,nine,training
9c24bc76_nohash_0.wav,marvin,training
605ed0ff_nohash_0.wav,sheila,validation
beb458a4_nohash_1.wav,six,testing
f736ab63_nohash_0.wav,bird,training
70a00e98_nohash_3.wav,left,training
a74f3917_nohash_0.wav,five,training
e882abb2_nohash_4.wav,six,training
3cc595de_nohash_3.wav,stop,validation
e11fbc6e_nohash_2.wav,four,validation
dae01802_nohash_3.wav,stop,training
0f7266cf_nohash_2.wav,up,training
d486fb84_nohash_0.wav,stop,training
e7117d00_nohash_1.wav,two,training
68dd409e_nohash_1.wav,tree,testing
61ab8fbc_nohash_2.wav,off,training
72e382bd_nohash_3.wav,eight,training
59b98a22_nohash_0.wav,three,training
eb3f7d82_nohash_2.wav,on,training
00f0204f_nohash_0.wav,yes,training
ee6163d5_nohash_1.wav,go,training
aba19127_nohash_0.wav,right,training
18e910f4_nohash_0.wav,visual,training
7846fd85_nohash_2.wav,three,training
220ee1ef_nohash_0.wav,stop,testing
eb0676ec_nohash_0.wav,nine,training
179a61b7_nohash_1.wav,up,training
b8b8cb52_nohash_0.wav,cat,training
54ad8f22_nohash_2.wav,follow,training
5c39594f_nohash_3.wav,down,training
9637f43f_nohash_0.wav,zero,training
41dce6f5_nohash_0.wav,seven,training
435f9f9e_nohash_0.wav,marvin,training
c1e0e8e3_nohash_0.wav,sheila,training
8a90cf67_nohash_4.wav,five,validation
ff4ed4f3_nohash_3.wav,seven,training
7be9f58a_nohash_1.wav,three,training
b80d6c5e_nohash_0.wav,sheila,training
bcf614a2_nohash_2.wav,off,training
6af4aa07_nohash_1.wav,go,training
3a3ee7ed_nohash_3.wav,on,training
cb62dbf1_nohash_2.wav,go,training
712e4d58_nohash_1.wav,four,training
e6327279_nohash_4.wav,eight,training
46a153d8_nohash_3.wav,four,training
fc3ba625_nohash_1.wav,yes,training
3a929277_nohash_0.wav,left,validation
94d370bf_nohash_3.wav,one,training
66041c69_nohash_0.wav,no,training
229978fd_nohash_1.wav,stop,training
2aca1e72_nohash_6.wav,six,training
11b1df78_nohash_1.wav,left,training
bfd26d6b_nohash_1.wav,down,testing
3bb68054_nohash_2.wav,zero,training
6565a81d_nohash_2.wav,yes,training
cb62dbf1_nohash_2.wav,stop,training
c0445658_nohash_0.wav,right,training
dedc7fab_nohash_0.wav,bed,training
716757ce_nohash_0.wav,dog,training
2cec1d47_nohash_0.wav,happy,training
472b8045_nohash_0.wav,yes,training
e32ff49d_nohash_0.wav,yes,training
e62056e2_nohash_0.wav,dog,training
66aa0f29_nohash_0.wav,yes,training
f1d8a638_nohash_0.wav,eight,training
ee483d85_nohash_0.wav,bird,training
977a3be4_nohash_1.wav,yes,training
f4c77b26_nohash_0.wav,nine,training
b5552931_nohash_1.wav,one,training
1e4064b8_nohash_0.wav,wow,training
b9f46737_nohash_1.wav,yes,training
fd9c7413_nohash_1.wav,sheila,training
cc8b3228_nohash_0.wav,right,validation
cc3b5b62_nohash_1.wav,eight,training
