filename,label,set
4e6902d0_nohash_1.wav,backward,validation
a1533da4_nohash_2.wav,five,testing
113b3fbc_nohash_3.wav,on,training
cc3b5b62_nohash_3.wav,left,training
96d8bb6f_nohash_0.wav,nine,training
964e8cfd_nohash_0.wav,sheila,testing
6f2f57c1_nohash_0.wav,nine,testing
789e4ee7_nohash_0.wav,sheila,training
f618568f_nohash_0.wav,six,training
1851e33b_nohash_0.wav,right,training
1b42b551_nohash_4.wav,zero,training
2cf28b70_nohash_1.wav,tree,training
97f4c236_nohash_4.wav,up,testing
c351e611_nohash_1.wav,eight,training
1e31353f_nohash_0.wav,five,training
72e382bd_nohash_2.wav,down,training
b5cf6ea8_nohash_9.wav,forward,training
e98cb283_nohash_0.wav,cat,training
97f4c236_nohash_0.wav,six,testing
682e1687_nohash_0.wav,go,training
1acc97de_nohash_3.wav,six,testing
6205088b_nohash_0.wav,six,testing
f2f0d244_nohash_0.wav,bird,training
fb8c31a9_nohash_1.wav,nine,training
b00c4c53_nohash_0.wav,marvin,training
97f4c236_nohash_4.wav,go,testing
8f0d3c27_nohash_0.wav,five,training
61e2f74f_nohash_1.wav,visual,training
5769c5ab_nohash_0.wav,five,training
eb0676ec_nohash_4.wav,right,training
a3fc7884_nohash_0.wav,wow,training
dea820ce_nohash_1.wav,four,training
a7200079_nohash_5.wav,one,training
a4383927_nohash_0.wav,stop,testing
0c2ca723_nohash_0.wav,house,training
9b02d503_nohash_1.wav,eight,training
682e1687_nohash_0.wav,seven,training
3bb68054_nohash_4.wav,on,training
2927c601_nohash_3.wav,visual,training
a05a90c1_nohash_1.wav,stop,training
96cd0255_nohash_0.wav,down,training
62ff07ef_nohash_0.wav,right,testing
30065f33_nohash_0.wav,left,training
8f4c551f_nohash_0.wav,cat,training
e10e2cbb_nohash_0.wav,happy,training
bd76a7fd_nohash_0.wav,backward,training
f618568f_nohash_0.wav,marvin,training
0f7266cf_nohash_1.wav,one,training
a293e285_nohash_3.wav,nine,training
99b05bcf_nohash_0.wav,happy,training
61ab8fbc_nohash_0.wav,six,training
3291330e_nohash_1.wav,zero,training
88f3719f_nohash_0.wav,no,training
23abe1c9_nohash_0.wav,happy,training
03cf93b1_nohash_0.wav,dog,training
40b60ae9_nohash_0.wav,off,training
bbf38549_nohash_2.wav,three,training
1c76f5f3_nohash_0.wav,house,training
d7c60815_nohash_0.wav,left,training
471a0925_nohash_3.wav,off,validation
353b4d33_nohash_1.wav,one,training
df280250_nohash_0.wav,marvin,training
9f7079fe_nohash_0.wav,up,training
8fe67225_nohash_0.wav,off,testing
5f5eef60_nohash_2.wav,follow,training
50f55535_nohash_1.wav,marvin,validation
863880b7_nohash_1.wav,no,testing
ab5ae445_nohash_0.wav,on,training
c1d39ce8_nohash_1.wav,three,training
2fcb6397_nohash_0.wav,nine,training
72e382bd_nohash_4.wav,on,training
418e7158_nohash_1.wav,right,training
0b09edd3_nohash_1.wav,sheila,training
d070ea86_nohash_4.wav,learn,training
23da904f_nohash_0.wav,yes,training
5769c5ab_nohash_2.wav,learn,training
c50f55b8_nohash_3.wav,up,training
3a69f765_nohash_3.wav,three,training
18e910f4_nohash_4.wav,go,training
7fd25f7c_nohash_3.wav,yes,validation
471a0925_nohash_0.wav,two,validation
4e8c5516_nohash_3.wav,house,training
2b5e346d_nohash_0.wav,learn,training
73f20b00_nohash_2.wav,stop,validation
d9d6559e_nohash_0.wav,six,training
8c4854bc_nohash_1.wav,tree,training
da040491_nohash_4.wav,visual,training
57152045_nohash_5.wav,follow,training
f2e9b610_nohash_0.wav,six,training
38d78313_nohash_2.wav,go,training
954f190f_nohash_1.wav,visual,training
833d9f56_nohash_1.wav,visual,training
856eb138_nohash_0.wav,forward,validation
db72a474_nohash_0.wav,one,training
161fcca8_nohash_0.wav,six,training
4c3cddb8_nohash_4.wav,stop,training
7ca023e2_nohash_1.wav,five,validation
14c7b073_nohash_2.wav,down,training
9ab86dd0_nohash_0.wav,wow,training
a929f9b9_nohash_0.wav,marvin,training
6c429c7b_nohash_0.wav,three,training
189cbabe_nohash_1.wav,four,testing
3108acca_nohash_3.wav,left,training
a489191a_nohash_3.wav,backward,training
0fa1e7a9_nohash_2.wav,zero,testing
214ccb20_nohash_0.wav,four,training
3c4aa5ef_nohash_3.wav,forward,validation
afd53389_nohash_0.wav,marvin,training
d952a17e_nohash_0.wav,three,training
82305c3a_nohash_1.wav,bird,training
4c3cddb8_nohash_3.wav,visual,training
9307154f_nohash_0.wav,yes,training
8f0d3c27_nohash_0.wav,happy,training
2a89ad5c_nohash_0.wav,stop,validation
0ff728b5_nohash_1.wav,two,training
54412eae_nohash_0.wav,on,training
c5a1e46c_nohash_1.wav,forward,training
21832144_nohash_3.wav,five,training
6078eb0d_nohash_1.wav,zero,training
25040e85_nohash_0.wav,wow,training
18e910f4_nohash_3.wav,learn,training
d264f7b6_nohash_0.wav,up,training
a24cf51c_nohash_0.wav,house,training
d107dc42_nohash_0.wav,four,validation
2bdbe5f7_nohash_0.wav,left,training
f06190c1_nohash_0.wav,zero,training
e82914c0_nohash_0.wav,two,training
bf90a57a_nohash_0.wav,cat,training
0f3f64d5_nohash_1.wav,yes,training
25c14394_nohash_0.wav,bed,training
fb7eb481_nohash_3.wav,on,testing
b0bad4a9_nohash_0.wav,cat,training
d0ce2418_nohash_1.wav,marvin,training
9735764a_nohash_2.wav,house,training
7846fd85_nohash_3.wav,eight,training
96d8bb6f_nohash_1.wav,forward,training
c120e80e_nohash_4.wav,seven,training
e3b64217_nohash_1.wav,nine,training
14775481_nohash_1.wav,yes,training
c22d3f18_nohash_2.wav,on,testing
03c96658_nohash_0.wav,up,training
4fce7686_nohash_0.wav,backward,training
1aed7c6d_nohash_0.wav,on,validation
3b4f8f24_nohash_2.wav,no,testing
0ea0e2f4_nohash_0.wav,two,testing
060cd039_nohash_0.wav,up,validation
c1e0e8e3_nohash_1.wav,on,training
c9e251d2_nohash_1.wav,tree,testing
cce7416f_nohash_1.wav,marvin,training
01b4757a_nohash_0.wav,one,training
66774579_nohash_0.wav,six,validation
d5b963aa_nohash_2.wav,learn,testing
03401e93_nohash_0.wav,off,testing
2e75d37a_nohash_4.wav,six,training
4ca37738_nohash_3.wav,sheila,training
99b05bcf_nohash_2.wav,wow,training
86648261_nohash_0.wav,on,training
1e9e6bdd_nohash_0.wav,five,training
9a2e5b3c_nohash_0.wav,two,training
6969e51a_nohash_0.wav,stop,training
5b09db89_nohash_0.wav,house,training
0ea0e2f4_nohash_0.wav,one,testing
3ca784ec_nohash_0.wav,four,validation
4fd4d073_nohash_2.wav,go,training
95fd5a0f_nohash_1.wav,no,training
ace072ba_nohash_1.wav,follow,training
c661be6e_nohash_0.wav,up,training
5af0ca83_nohash_1.wav,two,training
0d6d7360_nohash_0.wav,go,training
a9ca1818_nohash_2.wav,forward,validation
f174517e_nohash_0.wav,tree,training
a1e71565_nohash_4.wav,six,training
837a0f64_nohash_3.wav,one,testing
4f2be90f_nohash_0.wav,dog,training
e652590d_nohash_0.wav,down,training
dc6e9c04_nohash_0.wav,left,training
189cbabe_nohash_4.wav,learn,testing
dbaf8fc6_nohash_1.wav,wow,validation
a16013b7_nohash_2.wav,learn,training
e82914c0_nohash_0.wav,off,training
72d75d96_nohash_1.wav,eight,training
f2f0d244_nohash_0.wav,stop,training
c6a23ff5_nohash_1.wav,six,training
8a28231e_nohash_0.wav,marvin,training
eb0676ec_nohash_2.wav,go,training
df1d5024_nohash_0.wav,wow,training
68dd409e_nohash_0.wav,tree,testing
bb05582b_nohash_3.wav,forward,testing
7f581e94_nohash_0.wav,happy,training
5828dfa2_nohash_2.wav,happy,testing
f568162b_nohash_0.wav,cat,training
cce7416f_nohash_3.wav,five,training
ad6a46f1_nohash_1.wav,marvin,testing
b528edb3_nohash_2.wav,follow,training
bc196f81_nohash_0.wav,happy,validation
cb72dfb6_nohash_2.wav,visual,training
77655bdf_nohash_0.wav,on,training
079d1020_nohash_0.wav,happy,training
f2f0d244_nohash_0.wav,five,training
8dd24423_nohash_0.wav,tree,training
9b8a7439_nohash_3.wav,down,training
3b3d2f59_nohash_0.wav,forward,training
18ffa72d_nohash_0.wav,bird,training
63f7a489_nohash_3.wav,visual,testing
cc3b5b62_nohash_0.wav,learn,training
2fcb6397_nohash_0.wav,five,training
87070229_nohash_0.wav,visual,testing
dc269564_nohash_0.wav,wow,training
a1a59b72_nohash_2.wav,wow,training
3bb68054_nohash_2.wav,down,training
9cde5de8_nohash_2.wav,wow,validation
51055bda_nohash_1.wav,up,training
91ffb786_nohash_2.wav,right,training
99fad6a0_nohash_0.wav,bird,training
e9abfe31_nohash_1.wav,forward,training
676f8138_nohash_2.wav,backward,training
61482e52_nohash_0.wav,nine,training
18e910f4_nohash_3.wav,one,training
a1e71565_nohash_4.wav,no,training
de4f7798_nohash_0.wav,zero,training
3bc21161_nohash_0.wav,two,training
3b4f8f24_nohash_2.wav,on,testing
9a69672b_nohash_0.wav,nine,testing
fbb56351_nohash_2.wav,eight,training
b575b5fb_nohash_0.wav,house,training
8353fea1_nohash_0.wav,eight,training
195c120a_nohash_1.wav,two,training
fc3ba625_nohash_1.wav,follow,training
bbf38549_nohash_2.wav,eight,training
3b7f817e_nohash_2.wav,bird,training
61ab8fbc_nohash_0.wav,zero,training
caa7feaf_nohash_0.wav,dog,training
f568162b_nohash_3.wav,on,training
1b18600d_nohash_0.wav,forward,training
d21fd169_nohash_3.wav,backward,training
e98cb283_nohash_0.wav,zero,training
a9ca1818_nohash_2.wav,follow,validation
017c4098_nohash_2.wav,backward,training
879a2b38_nohash_2.wav,follow,training
9f93e408_nohash_1.wav,visual,training
676f8138_nohash_3.wav,four,training
4c6944d6_nohash_1.wav,visual,training
9331d34b_nohash_0.wav,go,training
2b715941_nohash_0.wav,three,training
b15fc37d_nohash_0.wav,wow,training
4b39347d_nohash_1.wav,one,training
c6a23ff5_nohash_0.wav,sheila,training
3c257192_nohash_2.wav,nine,training
3bb68054_nohash_2.wav,nine,training
61482e52_nohash_0.wav,wow,training
8442ea62_nohash_2.wav,stop,training
f2e59fea_nohash_0.wav,backward,testing
b308773d_nohash_4.wav,backward,training
74b73f88_nohash_0.wav,left,training
caa7feaf_nohash_1.wav,house,training
a04817c2_nohash_4.wav,forward,training
1afd49bf_nohash_0.wav,seven,training
3efa7ec4_nohash_0.wav,sheila,training
54aecbd5_nohash_1.wav,seven,training
39833acb_nohash_2.wav,backward,training
f5626af6_nohash_3.wav,backward,training
61e2f74f_nohash_1.wav,up,training
439c84f4_nohash_2.wav,stop,validation
b0ae6326_nohash_3.wav,stop,training
53458368_nohash_0.wav,eight,training
402e2977_nohash_1.wav,bed,training
7eee5973_nohash_1.wav,wow,validation
f104f742_nohash_1.wav,happy,training
d0faf7e4_nohash_3.wav,stop,testing
89e59d18_nohash_0.wav,five,training
f618568f_nohash_0.wav,dog,training
075e38c3_nohash_0.wav,sheila,training
99b05bcf_nohash_0.wav,tree,training
3d9bbe2d_nohash_0.wav,sheila,training
837a0f64_nohash_1.wav,follow,testing
745a8e32_nohash_0.wav,tree,training
61482e52_nohash_3.wav,yes,training
93ec8b84_nohash_0.wav,tree,training
dc2222d7_nohash_0.wav,bed,validation
1b5ba788_nohash_0.wav,forward,training
18d84076_nohash_0.wav,visual,training
3a3ee7ed_nohash_3.wav,forward,training
14775481_nohash_1.wav,left,training
6e2ef3d5_nohash_0.wav,cat,training
e8d562ca_nohash_0.wav,off,training
d1dd03ed_nohash_2.wav,backward,training
f44f440f_nohash_1.wav,cat,training
eeaf97c3_nohash_4.wav,left,training
f1d36c53_nohash_1.wav,wow,training
d278d8ef_nohash_0.wav,house,training
2151b09a_nohash_0.wav,bird,training
bbb2eb5b_nohash_1.wav,up,training
b15fc37d_nohash_0.wav,yes,training
616420be_nohash_3.wav,follow,training
619b5164_nohash_1.wav,up,training
7910d292_nohash_0.wav,up,training
1f653d27_nohash_0.wav,seven,testing
01bb6a2a_nohash_2.wav,go,training
3a3ee7ed_nohash_4.wav,learn,training
1ecfb537_nohash_1.wav,yes,training
2fee065a_nohash_2.wav,learn,training
a24582a0_nohash_0.wav,bed,training
ecef25ba_nohash_0.wav,cat,training
f568162b_nohash_0.wav,backward,training
9448c397_nohash_2.wav,learn,training
004ae714_nohash_1.wav,yes,training
b76f6088_nohash_3.wav,visual,training
67fcdb05_nohash_0.wav,eight,training
86f3558f_nohash_0.wav,six,training
c6ee87a7_nohash_2.wav,no,validation
90e72357_nohash_1.wav,eight,training
1942abd7_nohash_0.wav,tree,validation
43b85b64_nohash_1.wav,nine,training
57152045_nohash_5.wav,go,training
ab9b93e4_nohash_0.wav,stop,training
7014b07e_nohash_0.wav,tree,training
da5dadb9_nohash_0.wav,right,training
42c467d0_nohash_1.wav,sheila,training
6727b579_nohash_0.wav,seven,training
676f8138_nohash_4.wav,nine,training
73af0c50_nohash_0.wav,yes,training
18e910f4_nohash_3.wav,stop,training
cc4f9250_nohash_3.wav,backward,training
9a69672b_nohash_1.wav,yes,testing
ab5b211a_nohash_1.wav,four,training
525eaa62_nohash_0.wav,bed,validation
adebe223_nohash_0.wav,wow,testing
256c0a05_nohash_0.wav,forward,training
83957201_nohash_1.wav,five,testing
b9db6e42_nohash_1.wav,house,training
cfde27ba_nohash_1.wav,happy,testing
bbb2eb5b_nohash_0.wav,bed,training
0e17f595_nohash_1.wav,seven,validation
0ff728b5_nohash_0.wav,two,training
d264f7b6_nohash_2.wav,off,training
0f7266cf_nohash_2.wav,three,training
6c0f6493_nohash_0.wav,on,validation
c50f55b8_nohash_3.wav,bed,training
ca4eeab0_nohash_0.wav,seven,training
0ea0e2f4_nohash_0.wav,zero,testing
1cec8d71_nohash_0.wav,left,training
acfd5b5e_nohash_0.wav,forward,training
042ea76c_nohash_0.wav,one,training
3bb68054_nohash_2.wav,backward,training
ceef6d96_nohash_2.wav,five,training
ff21fb59_nohash_0.wav,five,training
3e3b65eb_nohash_0.wav,off,training
229978fd_nohash_4.wav,two,training
6d0ad764_nohash_2.wav,happy,validation
a77fbcfd_nohash_2.wav,visual,training
d78858d9_nohash_1.wav,bed,training
8fe52b97_nohash_1.wav,five,testing
b0ae6326_nohash_3.wav,up,training
c1e0e8e3_nohash_1.wav,five,training
5f9cd2eb_nohash_1.wav,backward,training
b487da60_nohash_0.wav,sheila,validation
ca4d5368_nohash_4.wav,visual,testing
135c6841_nohash_0.wav,one,testing
446a3161_nohash_0.wav,go,training
da584bc0_nohash_4.wav,zero,training
ff63ab0b_nohash_0.wav,zero,training
98ea0818_nohash_3.wav,no,training
4c7c95de_nohash_1.wav,dog,testing
a42a88ff_nohash_0.wav,dog,training
951cac20_nohash_0.wav,five,training
363c6bad_nohash_1.wav,up,training
9151f184_nohash_1.wav,follow,training
1c84a139_nohash_3.wav,six,training
060cd039_nohash_1.wav,bed,validation
e0315cf6_nohash_3.wav,eight,training
023a61ad_nohash_1.wav,wow,training
9886d8bf_nohash_2.wav,six,training
8c7c9168_nohash_0.wav,cat,training
29dce108_nohash_1.wav,on,training
c33682f0_nohash_2.wav,two,training
370844f7_nohash_0.wav,bed,testing
4cee0c60_nohash_2.wav,learn,training
9b8a7439_nohash_3.wav,right,training
11b1df78_nohash_0.wav,zero,training
f9643d42_nohash_3.wav,seven,testing
5b09db89_nohash_2.wav,yes,training
cc6ee39b_nohash_0.wav,happy,training
91942e89_nohash_1.wav,eight,training
acb9db68_nohash_1.wav,backward,training
ace072ba_nohash_2.wav,forward,training
226537ab_nohash_0.wav,two,training
51f4d5b0_nohash_0.wav,up,training
9a3f97f8_nohash_0.wav,seven,training
f8f60f59_nohash_3.wav,seven,training
3143fdff_nohash_0.wav,wow,training
863880b7_nohash_1.wav,two,testing
676f8138_nohash_2.wav,three,training
4f086393_nohash_0.wav,marvin,training
ab5ae445_nohash_0.wav,down,training
4ca37738_nohash_0.wav,no,training
ef3367d9_nohash_1.wav,follow,training
1c76f5f3_nohash_0.wav,follow,training
ea1f888c_nohash_0.wav,eight,training
708a9569_nohash_1.wav,bed,training
9f6fbdb4_nohash_1.wav,off,training
9331d34b_nohash_0.wav,four,training
bbc30633_nohash_1.wav,forward,training
c6a23ff5_nohash_0.wav,cat,training
f2e59fea_nohash_3.wav,visual,testing
e7bcee8a_nohash_2.wav,six,training
3a789a0d_nohash_4.wav,marvin,training
7fb8d703_nohash_4.wav,six,training
1a994c9f_nohash_2.wav,follow,training
7c9b43f0_nohash_0.wav,house,training
97addd88_nohash_0.wav,bird,training
31d68957_nohash_0.wav,two,training
ab7b5acd_nohash_0.wav,one,validation
22aa3665_nohash_1.wav,stop,validation
f84762e5_nohash_0.wav,house,validation
db7c95b0_nohash_0.wav,right,training
893705bb_nohash_3.wav,on,testing
64df20d8_nohash_2.wav,backward,training
2fcb6397_nohash_0.wav,yes,training
c50f55b8_nohash_3.wav,seven,training
195c120a_nohash_2.wav,visual,training
54ad8f22_nohash_2.wav,nine,training
35d1b6ee_nohash_3.wav,up,training
4c77947d_nohash_1.wav,stop,training
ee1d8d49_nohash_2.wav,follow,training
a1cff772_nohash_0.wav,four,training
