filename,label,set
113b3fbc_nohash_3.wav,on,training
cc3b5b62_nohash_3.wav,left,training
96d8bb6f_nohash_0.wav,nine,training
789e4ee7_nohash_0.wav,sheila,training
f618568f_nohash_0.wav,six,training
1851e33b_nohash_0.wav,right,training
1b42b551_nohash_4.wav,zero,training
2cf28b70_nohash_1.wav,tree,training
c351e611_nohash_1.wav,eight,training
1e31353f_nohash_0.wav,five,training
72e382bd_nohash_2.wav,down,training
b5cf6ea8_nohash_9.wav,forward,training
e98cb283_nohash_0.wav,cat,training
682e1687_nohash_0.wav,go,training
f2f0d244_nohash_0.wav,bird,training
fb8c31a9_nohash_1.wav,nine,training
b00c4c53_nohash_0.wav,marvin,training
8f0d3c27_nohash_0.wav,five,training
61e2f74f_nohash_1.wav,visual,training
5769c5ab_nohash_0.wav,five,training
eb0676ec_nohash_4.wav,right,training
a3fc7884_nohash_0.wav,wow,training
dea820ce_nohash_1.wav,four,training
a7200079_nohash_5.wav,one,training
0c2ca723_nohash_0.wav,house,training
9b02d503_nohash_1.wav,eight,training
682e1687_nohash_0.wav,seven,training
3bb68054_nohash_4.wav,on,training
2927c601_nohash_3.wav,visual,training
a05a90c1_nohash_1.wav,stop,training
96cd0255_nohash_0.wav,down,training
30065f33_nohash_0.wav,left,training
8f4c551f_nohash_0.wav,cat,training
e10e2cbb_nohash_0.wav,happy,training
bd76a7fd_nohash_0.wav,backward,training
f618568f_nohash_0.wav,marvin,training
0f7266cf_nohash_1.wav,one,training
a293e285_nohash_3.wav,nine,training
99b05bcf_nohash_0.wav,happy,training
61ab8fbc_nohash_0.wav,six,training
3291330e_nohash_1.wav,zero,training
88f3719f_nohash_0.wav,no,training
23abe1c9_nohash_0.wav,happy,training
03cf93b1_nohash_0.wav,dog,training
40b60ae9_nohash_0.wav,off,training
bbf38549_nohash_2.wav,three,training
1c76f5f3_nohash_0.wav,house,training
d7c60815_nohash_0.wav,left,training
353b4d33_nohash_1.wav,one,training
df280250_nohash_0.wav,marvin,training
9f7079fe_nohash_0.wav,up,training
5f5eef60_nohash_2.wav,follow,training
ab5ae445_nohash_0.wav,on,training
c1d39ce8_nohash_1.wav,three,training
2fcb6397_nohash_0.wav,nine,training
72e382bd_nohash_4.wav,on,training
418e7158_nohash_1.wav,right,training
0b09edd3_nohash_1.wav,sheila,training
d070ea86_nohash_4.wav,learn,training
23da904f_nohash_0.wav,yes,training
5769c5ab_nohash_2.wav,learn,training
c50f55b8_nohash_3.wav,up,training
3a69f765_nohash_3.wav,three,training
18e910f4_nohash_4.wav,go,training
4e8c5516_nohash_3.wav,house,training
2b5e346d_nohash_0.wav,learn,training
d9d6559e_nohash_0.wav,six,training
8c4854bc_nohash_1.wav,tree,training
da040491_nohash_4.wav,visual,training
57152045_nohash_5.wav,follow,training
f2e9b610_nohash_0.wav,six,training
38d78313_nohash_2.wav,go,training
954f190f_nohash_1.wav,visual,training
833d9f56_nohash_1.wav,visual,training
db72a474_nohash_0.wav,one,training
161fcca8_nohash_0.wav,six,training
4c3cddb8_nohash_4.wav,stop,training
14c7b073_nohash_2.wav,down,training
9ab86dd0_nohash_0.wav,wow,training
a929f9b9_nohash_0.wav,marvin,training
6c429c7b_nohash_0.wav,three,training
3108acca_nohash_3.wav,left,training
a489191a_nohash_3.wav,backward,training
214ccb20_nohash_0.wav,four,training
afd53389_nohash_0.wav,marvin,training
